trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,0,-107.6539586692901,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.42741493194872665}",20,0,-30.22313555573929,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.4065696597405991}",20,10,5.870273388907845,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.3867410234545012}",25,0,-64.59358248216594,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.36787944117144233}",25,15,-18.35140983989689,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.05, 'e': 0.3499377491111553}",20,4,16.851237745268193,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.33287108369807955}",25,0,-15.530828772433182,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.31663676937905316}",25,0,-34.95774699550157,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.301194211912202}",20,12,-50.85970436764115,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
26,False,"{'a': 0.05, 'e': 0.2865047968601901}",20,0,4.3220918863702344,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.2725317930340126}",20,0,-5.273112293853804,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.2592402606458915}",25,0,-29.288300801604237,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
